# Mean_Fitness,Std_Dev,Top_1_Fitness
1.784794360674312088e+02,2.767274979894523668e+01,9.808878755178622555e+01
1.722407080746551173e+02,2.984109880613709365e+01,9.808878755178622555e+01
1.762256833240728611e+02,2.968757373617361850e+01,9.808878755178622555e+01
1.656779678456909153e+02,3.880594420802726319e+01,9.808878755178622555e+01
1.812419598990610723e+02,3.814575681638639537e+01,9.808878755178622555e+01
1.759521501903961394e+02,3.584754395540712579e+01,9.808878755178622555e+01
1.639209542319000832e+02,4.849531310838219156e+01,9.631527247545824366e+01
1.270035686405684174e+02,3.625069241051879487e+01,7.777306155000468380e+01
1.473599035202162213e+02,3.770917461821208150e+01,7.777306155000468380e+01
1.584398579123364925e+02,3.128939174142804802e+01,7.777306155000468380e+01
1.731337811679721597e+02,3.255408567838249212e+01,7.777306155000468380e+01
1.515220035521952582e+02,5.239619218707461812e+01,7.777306155000468380e+01
1.340971479416605234e+02,4.460580831375589383e+01,7.691675592625728086e+01
1.168341490850921645e+02,3.679844572344273246e+01,7.691675592625728086e+01
1.417705714569750626e+02,3.499099521349762654e+01,7.691675592625728086e+01
1.487412164929694995e+02,2.520459781766878393e+01,7.691675592625728086e+01
1.588683155118515344e+02,2.681661326658776545e+01,7.691675592625728086e+01
1.448737650188493546e+02,2.400174790482086706e+01,7.691675592625728086e+01
1.388939510806481508e+02,1.830852246675611639e+01,7.691675592625728086e+01
1.281478033203691780e+02,2.279101366024242026e+01,7.691675592625728086e+01
1.120166385129810749e+02,3.035412750273219729e+01,7.369873028774372870e+01
1.004972076688095939e+02,2.205382312675564194e+01,7.270651677824064052e+01
1.148754283589165368e+02,2.663842484674325206e+01,7.270651677824064052e+01
1.117862471892386083e+02,2.435374959170808751e+01,6.217490965914684864e+01
1.257864460319609918e+02,2.186772455781789404e+01,6.150123145036344852e+01
1.342001419713197663e+02,2.758265194572645740e+01,6.150123145036344852e+01
1.241637249517051771e+02,2.813342124835629932e+01,6.104839032070384519e+01
1.154032877081653226e+02,3.670315875347843360e+01,4.811565560220949322e+01
8.557722640995349650e+01,2.933479691001619116e+01,4.811565560220949322e+01
7.722604075223424047e+01,2.592389286191585285e+01,4.811565560220949322e+01
8.153276486248731203e+01,3.305603106702253058e+01,4.811565560220949322e+01
9.345730149415653898e+01,3.289698264750533951e+01,4.811565560220949322e+01
8.524611760994504550e+01,3.189817289025621250e+01,4.811565560220949322e+01
7.214353888557948835e+01,2.238354131967015803e+01,4.811565560220949322e+01
7.787380504564454498e+01,2.567284969209043055e+01,4.811565560220949322e+01
8.568753407487054119e+01,3.080024989852119077e+01,4.811565560220949322e+01
8.889925545557778719e+01,3.721619897080978490e+01,4.811565560220949322e+01
8.241984579053743687e+01,4.075914248025969755e+01,4.811565560220949322e+01
7.858242942988093205e+01,3.429538246975739213e+01,4.811565560220949322e+01
8.622882770373435335e+01,3.923937514271206339e+01,4.811565560220949322e+01
9.434782890686047097e+01,2.969002656002030349e+01,4.811565560220949322e+01
1.063838795587426205e+02,3.952383533682800731e+01,4.811565560220949322e+01
1.181142246283867223e+02,3.133522299253889187e+01,4.811565560220949322e+01
1.377234176992914172e+02,2.475755580110220322e+01,4.811565560220949322e+01
1.073279383046617568e+02,3.869868498139464208e+01,4.811565560220949322e+01
9.068873645790577598e+01,4.677013983423019994e+01,4.811565560220949322e+01
7.645413489109392913e+01,4.226471766436900879e+01,4.762193253956812811e+01
8.371595172189896061e+01,4.794725058009073138e+01,4.762193253956812811e+01
6.860414440490167465e+01,3.650846424186737949e+01,4.762193253956812811e+01
8.613579620682382654e+01,4.423817312794690082e+01,4.576889163207202671e+01
6.857988883140670566e+01,3.442269482087960597e+01,4.576889163207202671e+01
7.923728039044138427e+01,4.049802600441183387e+01,4.576889163207202671e+01
9.762734313646591033e+01,4.222020098114277431e+01,4.393157024419443957e+01
9.469738440832000492e+01,4.642665102343438832e+01,4.393157024419443957e+01
1.093725115923380571e+02,3.434370946714327744e+01,4.393157024419443957e+01
1.078600365499191440e+02,3.835158620886390679e+01,4.393157024419443957e+01
1.106975912405783617e+02,3.740619303188741895e+01,4.393157024419443957e+01
1.101039906210168340e+02,4.205026171902895982e+01,4.393157024419443957e+01
1.219622478082951176e+02,3.803606052393668335e+01,4.393157024419443957e+01
1.291541675163350362e+02,4.111094218277433754e+01,4.393157024419443957e+01
1.198843193884774365e+02,4.519599432671949302e+01,4.393157024419443957e+01
1.132030675009487766e+02,3.926900488626721852e+01,4.393157024419443957e+01
1.231174309479641380e+02,3.868408755770504115e+01,4.393157024419443957e+01
1.229265769326688797e+02,3.889536223227475631e+01,4.393157024419443957e+01
1.118565504272608422e+02,3.662936730252030060e+01,4.393157024419443957e+01
1.174299847849227660e+02,3.719144172266245363e+01,4.393157024419443957e+01
1.281087694050656012e+02,3.479583861287112967e+01,4.393157024419443957e+01
1.183784837585451442e+02,3.967618633207169410e+01,4.393157024419443957e+01
1.033113721490773571e+02,4.231869245132113377e+01,4.393157024419443957e+01
9.969029206207872562e+01,5.015006370392095647e+01,4.393157024419443957e+01
8.622504485133902108e+01,4.835312613495169387e+01,4.054658057244375868e+01
8.768694209817672913e+01,4.430780960491343734e+01,4.054658057244375868e+01
7.089474697729818331e+01,3.553901244192657316e+01,4.054658057244375868e+01
7.788185178217699445e+01,3.903625949674490414e+01,4.054658057244375868e+01
8.179703922295539087e+01,3.257456639017384958e+01,4.054658057244375868e+01
8.686610060985590565e+01,4.535493050474019583e+01,4.054658057244375868e+01
7.237926873061742583e+01,3.550627363253519064e+01,4.054658057244375868e+01
1.117199279756026300e+02,3.939852835729028868e+01,4.054658057244375868e+01
1.228201437315586588e+02,4.780011245028214262e+01,4.054658057244375868e+01
9.521809405529950254e+01,4.541056568259038784e+01,4.035639024176245471e+01
8.226566995943042571e+01,4.551701323769936636e+01,4.035639024176245471e+01
9.401013432999906172e+01,6.361630381645053944e+01,4.035639024176245471e+01
1.007182119972423067e+02,5.904395053160007478e+01,4.035639024176245471e+01
1.026994505666503699e+02,5.263504062560409125e+01,4.035639024176245471e+01
9.866667559569398804e+01,5.391262874703285490e+01,4.035639024176245471e+01
1.069493716257904907e+02,4.026508791874962156e+01,4.035639024176245471e+01
9.841904794799195599e+01,5.356400553087936345e+01,4.035639024176245471e+01
9.131718552146314494e+01,4.455055837235494209e+01,4.035639024176245471e+01
6.694538857971568291e+01,3.794664488352047016e+01,4.035639024176245471e+01
6.608875572005541699e+01,3.902269068510504013e+01,4.035639024176245471e+01
7.008298886819454765e+01,4.540028442215396609e+01,4.035639024176245471e+01
1.173836567592655911e+02,6.077672263531468388e+01,4.035639024176245471e+01
9.462628856496361607e+01,4.971127814066666417e+01,3.182997383007543135e+01
9.774172002400526083e+01,4.611782003283814646e+01,3.182997383007543135e+01
5.246577980448466860e+01,3.329209043350044084e+01,3.182997383007543135e+01
5.651899695418579483e+01,3.884960251828527333e+01,3.182997383007543135e+01
6.432152177898365153e+01,4.488042418331283301e+01,3.182997383007543135e+01
7.061039994809392795e+01,4.451244311777789164e+01,3.182997383007543135e+01
6.395532621921656613e+01,3.814829449192048827e+01,3.182997383007543135e+01
7.251113580151738347e+01,4.840136547994100624e+01,3.182997383007543135e+01
8.011754713269255035e+01,5.032999751629023422e+01,3.182997383007543135e+01
5.574622396220020448e+01,3.806362540948231299e+01,3.182997383007543135e+01
6.995833995203828692e+01,4.998754828968917252e+01,3.182997383007543135e+01
6.173975840587280572e+01,5.076928953567017544e+01,3.182997383007543135e+01
6.275266915549359226e+01,5.023073881412579311e+01,3.182997383007543135e+01
6.211524038370983192e+01,4.820938031526129919e+01,3.182997383007543135e+01
6.726662349881996761e+01,5.347748491846111563e+01,3.182997383007543135e+01
5.547197443780051174e+01,4.045315522424021282e+01,3.182997383007543135e+01
6.719522262729029194e+01,5.147247674536409789e+01,3.086224295558884023e+01
7.184306830785619979e+01,5.099834035311346980e+01,3.086224295558884023e+01
6.879162401405623939e+01,5.118895872875831543e+01,3.086224295558884023e+01
6.980405104341615186e+01,5.424847203610865876e+01,2.994063668418215229e+01
