# Mean_Fitness,Std_Dev,Top_1_Fitness
1.252075733322199937e+02,4.911072000814128558e+01,3.330644279906005067e+01
1.103963297787138629e+02,5.797188929188173034e+01,3.268517282030857984e+01
1.270192424573230312e+02,6.437374517030578147e+01,3.145141006167835940e+01
1.590422021126294680e+02,3.713159071109775766e+01,3.145141006167835940e+01
1.440595795048780587e+02,5.482863123795541327e+01,3.145141006167835940e+01
1.347665261033891113e+02,5.749172075871626220e+01,3.145141006167835940e+01
1.074902177889660777e+02,5.939757314175883351e+01,3.078458292947904340e+01
1.285672065016322563e+02,5.628743397166457640e+01,3.078458292947904340e+01
1.321018841187129169e+02,5.480761845516399688e+01,3.078458292947904340e+01
1.203377967994717466e+02,5.818475920794464429e+01,3.078458292947904340e+01
1.221004094262513036e+02,5.705140525063878698e+01,3.078458292947904340e+01
1.181282383371329843e+02,6.754433015264194751e+01,3.078458292947904340e+01
1.110467686677842778e+02,5.521654943002253901e+01,3.078458292947904340e+01
1.122072295232892856e+02,5.332553787520095767e+01,2.628339660727520766e+01
1.099213887849473821e+02,5.493038356102609754e+01,2.628339660727520766e+01
1.134776002335456724e+02,4.778262793483104076e+01,2.628339660727520766e+01
1.182446052588702088e+02,5.655633922913972356e+01,2.628339660727520766e+01
1.269051580390153333e+02,4.781654861473777629e+01,2.628339660727520766e+01
1.258370288071296983e+02,5.110295861857839839e+01,2.628339660727520766e+01
1.232884187934529336e+02,5.447005751820420016e+01,2.628339660727520766e+01
1.067566122188310374e+02,6.013953259716226540e+01,2.628339660727520766e+01
9.409538025721106180e+01,4.530656048194905594e+01,2.490645299218546427e+01
1.063353905956327878e+02,5.650470539903246703e+01,2.455349025146334441e+01
1.116140624416558182e+02,5.176142535058141192e+01,2.455349025146334441e+01
1.230120444370080861e+02,5.646873447413535985e+01,2.455349025146334441e+01
1.213290307291031240e+02,4.830804842869148530e+01,2.455349025146334441e+01
1.373149756173267519e+02,3.533221546058072704e+01,2.455349025146334441e+01
1.186031508482405314e+02,5.693832763972281441e+01,2.350599576935698565e+01
1.018478861297093516e+02,5.927331034557623468e+01,2.166215560408899421e+01
1.250087532773378314e+02,6.469318037718035441e+01,2.166215560408899421e+01
1.114123524778971444e+02,6.191248516263867430e+01,2.166215560408899421e+01
1.290352214770970818e+02,6.540419808364326570e+01,2.166215560408899421e+01
1.215526438864229277e+02,5.474433049875148782e+01,2.166215560408899421e+01
1.213501865974517813e+02,5.572526950866361517e+01,2.166215560408899421e+01
1.188835993371899349e+02,5.563301079183398201e+01,2.133328632190843166e+01
1.124952175862447348e+02,5.640194426237133740e+01,2.121259952979181662e+01
1.055228175124235293e+02,5.560411921158048187e+01,1.961734030828654340e+01
1.201400909374584387e+02,6.228015335028700150e+01,1.961734030828654340e+01
1.147758913099237361e+02,5.853943038509671482e+01,1.961734030828654340e+01
1.328721577867334815e+02,5.002259590215491869e+01,1.961734030828654340e+01
1.031895161718994558e+02,5.717448757916830715e+01,1.961734030828654340e+01
1.224867479767309533e+02,6.451484232232358806e+01,1.961734030828654340e+01
1.121492870180325099e+02,6.617980938159846005e+01,1.961734030828654340e+01
1.321994303177227437e+02,6.164371992278589829e+01,1.961734030828654340e+01
1.354618238731278836e+02,6.307933971438695409e+01,1.961734030828654340e+01
1.360870881216610826e+02,7.985913242131709922e+01,1.961734030828654340e+01
1.130405061066304313e+02,5.926096090692221452e+01,1.961734030828654340e+01
1.132526485196705579e+02,5.560902336191611539e+01,1.961734030828654340e+01
1.267339531085296187e+02,5.141465640603554021e+01,1.961734030828654340e+01
1.222730677079728139e+02,6.402754805906862146e+01,1.961734030828654340e+01
1.240589711945138731e+02,6.462950427514300600e+01,1.961734030828654340e+01
1.082138618281146876e+02,6.184318672516047144e+01,1.791412101456393202e+01
1.046553995853629431e+02,6.464511191196187667e+01,1.791412101456393202e+01
1.286767004153461471e+02,4.700101505161126880e+01,1.791412101456393202e+01
1.049815441114278940e+02,5.797352169237942121e+01,1.791412101456393202e+01
9.074633895969391517e+01,5.946021709941767597e+01,1.791412101456393202e+01
1.057367505560126091e+02,6.852262282622848488e+01,1.791412101456393202e+01
