# Mean_Fitness,Std_Dev,Top_1_Fitness
1.859952569805525968e+02,3.220019239078339979e+01,9.613166433600797234e+01
1.801862828848993558e+02,2.407544886386923721e+01,9.613166433600797234e+01
1.722276414165185940e+02,3.839702839558443515e+01,9.613166433600797234e+01
1.782553026068717088e+02,5.188139435688280088e+01,7.144069900081737501e+01
1.889300524476829537e+02,5.857017026809532467e+01,6.546112100960111491e+01
1.614707324806951192e+02,4.335692189474336544e+01,6.546112100960111491e+01
1.791362225516530202e+02,2.923436206204346988e+01,6.546112100960111491e+01
1.727896968972728189e+02,3.134213563292634674e+01,6.546112100960111491e+01
1.717931973806383894e+02,2.746743699249720549e+01,6.546112100960111491e+01
1.732630490142560973e+02,2.834936309085277628e+01,6.546112100960111491e+01
1.614567974699889987e+02,3.187316288656031560e+01,6.546112100960111491e+01
1.610525849894708301e+02,3.102104804817209782e+01,6.546112100960111491e+01
1.570202053149423591e+02,2.205475255546703295e+01,6.546112100960111491e+01
1.642178300009279610e+02,2.419900030862575946e+01,6.546112100960111491e+01
1.656415069972379683e+02,2.398777646418551868e+01,6.546112100960111491e+01
1.665237352940638118e+02,3.010681181406053497e+01,6.546112100960111491e+01
1.602475071636576160e+02,2.942701003015215022e+01,6.546112100960111491e+01
1.609553897493827321e+02,4.600435257051092464e+01,6.546112100960111491e+01
1.717948284813849114e+02,4.623307202686078199e+01,6.546112100960111491e+01
1.614365284230489124e+02,5.368055810748781198e+01,6.546112100960111491e+01
1.773866391794462061e+02,4.320013541783642097e+01,6.546112100960111491e+01
1.446597889561687680e+02,4.992922032070072902e+01,6.546112100960111491e+01
1.523695774465273303e+02,3.288934532829686930e+01,6.546112100960111491e+01
1.490832891975325651e+02,4.935781284957365500e+01,6.546112100960111491e+01
1.600048058583490729e+02,6.568395203527087745e+01,6.546112100960111491e+01
1.792851707060366664e+02,5.967820767840106555e+01,6.546112100960111491e+01
1.641597587227370809e+02,2.966728290709505700e+01,6.546112100960111491e+01
1.646548921622519117e+02,4.617094916651718250e+01,6.546112100960111491e+01
1.516726995415955059e+02,4.883156728851650286e+01,6.546112100960111491e+01
